Rank;TZ;DAIO;Yr;mvts;;;
Base;Baltic FAB;AD;2014;279,279;;;
Base;Baltic FAB;AD;2015;298,237;;;
Base;Baltic FAB;AD;2016;324,247;;;
Base;Baltic FAB;AD;2017;353,379;;;
Base;Baltic FAB;AD;2018;401,595;;;
Base;Baltic FAB;AD;2019;418,643;;;
Base;Baltic FAB;AD;2020;172,469;;;
Base;Baltic FAB;AD;2021;220,183;;;
Base;Baltic FAB;AD;2022;355,916;;;
High;Baltic FAB;AD;2022;355,916;;;
Low;Baltic FAB;AD;2022;355,916;;;
Base;Baltic FAB;AD;2023;401,567;;;
High;Baltic FAB;AD;2023;403,717;;;
Low;Baltic FAB;AD;2023;399,272;;;
Base;Baltic FAB;AD;2024;441,397;;;
High;Baltic FAB;AD;2024;449,435;;;
Low;Baltic FAB;AD;2024;432,810;;;
Base;Baltic FAB;AD;2025;453,408;;;
High;Baltic FAB;AD;2025;469,740;;;
Low;Baltic FAB;AD;2025;437,049;;;
Base;Baltic FAB;AD;2026;465,261;;;
High;Baltic FAB;AD;2026;487,945;;;
Low;Baltic FAB;AD;2026;441,935;;;
Base;Baltic FAB;AD;2027;474,783;;;
High;Baltic FAB;AD;2027;503,915;;;
Low;Baltic FAB;AD;2027;445,001;;;
Base;Baltic FAB;AD;2028;485,298;;;
High;Baltic FAB;AD;2028;520,672;;;
Low;Baltic FAB;AD;2028;448,326;;;
Base;Baltic FAB;AD;2029;493,066;;;
High;Baltic FAB;AD;2029;534,639;;;
Low;Baltic FAB;AD;2029;448,779;;;
Base;Belarus;AD;2023;7,657;;;
High;Belarus;AD;2023;7,738;;;
Low;Belarus;AD;2023;7,587;;;
Base;Belarus;AD;2024;8,450;;;
High;Belarus;AD;2024;8,788;;;
Low;Belarus;AD;2024;8,165;;;
Base;Belarus;AD;2025;8,645;;;
High;Belarus;AD;2025;9,300;;;
Low;Belarus;AD;2025;8,119;;;
Base;Belarus;AD;2026;8,918;;;
High;Belarus;AD;2026;9,821;;;
Low;Belarus;AD;2026;8,230;;;
Base;Belarus;AD;2027;9,202;;;
High;Belarus;AD;2027;10,394;;;
Low;Belarus;AD;2027;8,317;;;
Base;Belarus;AD;2028;9,536;;;
High;Belarus;AD;2028;11,039;;;
Low;Belarus;AD;2028;8,459;;;
Base;Belarus;AD;2029;9,831;;;
High;Belarus;AD;2029;11,674;;;
Low;Belarus;AD;2029;8,543;;;
Base;Belgium/Luxembourg;AD;2010;360,024;;;
Base;Belgium/Luxembourg;AD;2011;375,902;;;
Base;Belgium/Luxembourg;AD;2012;366,613;;;
Base;Belgium/Luxembourg;AD;2013;360,429;;;
Base;Belgium/Luxembourg;AD;2014;374,523;;;
Base;Belgium/Luxembourg;AD;2015;392,147;;;
Base;Belgium/Luxembourg;AD;2016;385,424;;;
Base;Belgium/Luxembourg;AD;2017;403,654;;;
Base;Belgium/Luxembourg;AD;2018;412,170;;;
Base;Belgium/Luxembourg;AD;2019;412,812;;;
Base;Belgium/Luxembourg;AD;2020;204,036;;;
Base;Belgium/Luxembourg;AD;2021;252,416;;;
Base;Belgium/Luxembourg;AD;2022;353,340;;;
High;Belgium/Luxembourg;AD;2022;353,340;;;
Low;Belgium/Luxembourg;AD;2022;353,340;;;
Base;Belgium/Luxembourg;AD;2023;367,519;;;
High;Belgium/Luxembourg;AD;2023;371,008;;;
Low;Belgium/Luxembourg;AD;2023;363,370;;;
Base;Belgium/Luxembourg;AD;2024;387,669;;;
High;Belgium/Luxembourg;AD;2024;397,418;;;
Low;Belgium/Luxembourg;AD;2024;377,062;;;
Base;Belgium/Luxembourg;AD;2025;402,078;;;
High;Belgium/Luxembourg;AD;2025;421,682;;;
Low;Belgium/Luxembourg;AD;2025;376,896;;;
Base;Belgium/Luxembourg;AD;2026;412,499;;;
High;Belgium/Luxembourg;AD;2026;438,490;;;
Low;Belgium/Luxembourg;AD;2026;381,093;;;
Base;Belgium/Luxembourg;AD;2027;420,523;;;
High;Belgium/Luxembourg;AD;2027;452,836;;;
Low;Belgium/Luxembourg;AD;2027;382,969;;;
Base;Belgium/Luxembourg;AD;2028;426,280;;;
High;Belgium/Luxembourg;AD;2028;464,526;;;
Low;Belgium/Luxembourg;AD;2028;384,607;;;
Base;Belgium/Luxembourg;AD;2029;430,862;;;
High;Belgium/Luxembourg;AD;2029;474,968;;;
Low;Belgium/Luxembourg;AD;2029;383,571;;;
Base;BLUE MED FAB;AD;2010;1,060,667;;;
Base;BLUE MED FAB;AD;2011;1,092,026;;;
Base;BLUE MED FAB;AD;2012;1,058,989;;;
Base;BLUE MED FAB;AD;2013;1,047,636;;;
Base;BLUE MED FAB;AD;2014;1,095,752;;;
Base;BLUE MED FAB;AD;2015;1,132,730;;;
Base;BLUE MED FAB;AD;2016;1,200,154;;;
Base;BLUE MED FAB;AD;2017;1,263,906;;;
Base;BLUE MED FAB;AD;2018;1,341,833;;;
Base;BLUE MED FAB;AD;2019;1,377,212;;;
Base;BLUE MED FAB;AD;2020;493,872;;;
Base;BLUE MED FAB;AD;2021;716,812;;;
Base;BLUE MED FAB;AD;2022;1,207,201;;;
High;BLUE MED FAB;AD;2022;1,207,201;;;
Low;BLUE MED FAB;AD;2022;1,207,201;;;
Base;BLUE MED FAB;AD;2023;1,359,566;;;
High;BLUE MED FAB;AD;2023;1,369,028;;;
Low;BLUE MED FAB;AD;2023;1,349,820;;;
Base;BLUE MED FAB;AD;2024;1,468,671;;;
High;BLUE MED FAB;AD;2024;1,503,300;;;
Low;BLUE MED FAB;AD;2024;1,433,350;;;
Base;BLUE MED FAB;AD;2025;1,496,375;;;
High;BLUE MED FAB;AD;2025;1,567,006;;;
Low;BLUE MED FAB;AD;2025;1,428,912;;;
Base;BLUE MED FAB;AD;2026;1,527,112;;;
High;BLUE MED FAB;AD;2026;1,626,664;;;
Low;BLUE MED FAB;AD;2026;1,434,193;;;
Base;BLUE MED FAB;AD;2027;1,552,265;;;
High;BLUE MED FAB;AD;2027;1,680,355;;;
Low;BLUE MED FAB;AD;2027;1,434,199;;;
Base;BLUE MED FAB;AD;2028;1,574,600;;;
High;BLUE MED FAB;AD;2028;1,729,472;;;
Low;BLUE MED FAB;AD;2028;1,433,138;;;
Base;BLUE MED FAB;AD;2029;1,586,684;;;
High;BLUE MED FAB;AD;2029;1,768,291;;;
Low;BLUE MED FAB;AD;2029;1,423,225;;;
Base;Bosnia and Herzegovina;AD;2010;13,793;;;
Base;Bosnia and Herzegovina;AD;2011;12,414;;;
Base;Bosnia and Herzegovina;AD;2012;11,530;;;
Base;Bosnia and Herzegovina;AD;2013;12,315;;;
